Place,name,category,time
97,Szente Tamas,M,48:48.32
98,Babalau Adrian,M,48:48.34
99,Petras Radu,M,48:53.32
100,Catalin Uivari,M,48:57.14
101,Bogdan Csaba,M,49:10.03
102,Mihai Buicu,M,49:10.46
103,Muresan Lucian,M,49:10.66
8,Neda Katalin,F,49:11.87
104,Mihalcea Radu Daniel,M,49:17.07
105,Szell Levente,M,49:25.29
106,Gregus-Foris Balazs,M,49:25.96
107,Girda Alex,M,49:28.06
9,Ranftler Marleen,F,49:28.32
108,Kolozsvari Norbert,M,49:29.24
109,cuțui mihai,M,49:29.25
110,Torok Tivadar,M,49:31.91
111,Dumitru Maris,M,49:32.97
10,Fetche Sorina,F,49:41.14
112,Bogdan Catalin,M,49:46.07
113,Esanu Cristian,M,49:48.11
114,Curta Cristian,M,49:48.57
115,Seisanu Camil,M,49:50.89
116,Péntek László,M,49:53.88
11,Veres Anna,F,49:57.24
117,Toth Sergiu,M,49:58.13
118,Patcas Valentin,M,50:01.54
119,Ionce Florin,M,50:02.87
120,Radulescu Florentin,M,50:07.38
12,Culda Alina,F,50:07.80
121,Ispas Dan,M,50:08.68
122,Floarea Ciprian,M,50:10.40
123,Zdroba Cristian,M,50:14.05
124,Ghișa Florin,M,50:14.41
125,Grávuj Miklós Henrich,M,50:14.79
13,Roh Aurelie,F,50:18.59
126,Pop Cristian,M,50:19.92
127,Struti Danut,M,50:22.31
128,Miron Mihai,M,50:28.07
14,Bulzan Adriana,F,50:28.62
129,Scrob Alexandru,M,50:32.68
130,Chircu Florin,M,50:37.87
131,Opriș Mihai-Vasile,M,50:38.37
132,Marincean Radu,M,50:44.37
133,Demiam Ciprian,M,50:45.94
134,Adrian Suteu,M,50:48.20
135,Birisan Dorel,M,50:48.26
136,Bodea Sergiu,M,50:49.93
137,Vladuceanu Silviu,M,50:57.38
15,Muresan Aida Paula,F,51:01.67
138,Bodea Silviu,M,51:01.81
139,DOMNITA Radu,M,51:09.45
140,Tosa Andrei,M,51:10.64
141,Cirjoescu Dan,M,51:12.03
142,Avram Iancu,M,51:14.25
143,Silye Lóránd,M,51:20.88
144,Nandreanu Andrei,M,51:27.47
145,Giurgiu Sorin Stefan,M,51:28.17
16,Zaharie Mihaela,F,51:28.65
146,Patru Nicusor,M,51:29.36
147,Turle Felix,M,51:29.61
148,Stamatin Cristian,M,51:30.06
149,Martini Constantin,M,51:30.11
17,Seghedi Cristina-Eva,F,51:32.56
150,Bradisteanu Dan,M,51:33.99
151,Craciun Denis,M,51:44.72
152,Toader Andrei Sorin,M,51:49.28
153,Birtocean Cristian,M,51:52.27
154,Morar Nicolae Rares,M,51:52.74
155,Ruzsa Balint,M,51:54.75
156,BARBINTA DORIN,M,51:56.65
157,Miclea Danut,M,51:57.25
158,Brüggemann Luca,M,51:58.86
159,Brad Grigore,M,52:00.33
160,Le Poder Francois,M,52:07.99
18,Hearne Jill,F,52:08.18
161,HOPIRCA SERBAN-ADRIAN,M,52:09.07
19,Chiorean Ancuta,F,52:18.93
20,Berindea Maria,F,52:21.01
162,Suciu Mihai,M,52:22.41
163,Holst Marco,M,52:24.04
164,Dragan Radu - Marian,M,52:26.06
165,KIESSLING MAX,M,52:26.38
166,Kaistha Florian,M,52:26.69
167,Bota Rares Adrian,M,52:27.12
168,Puscasu Adrian,M,52:35.69
169,PRELUCA TEODOR,M,52:36.39
21,Boga Reli,F,52:44.95
22,PALACEAN DANA,F,52:53.17
170,Pacurar Iulian,M,53:03.21
171,Bulugheana Andrei-Razvan,M,53:07.97
172,Haller Iosif,M,53:08.55
173,Covaciu Dan-Iulian,M,53:10.87
23,Pop Miruna,F,53:12.58
174,Eni Maxim,M,53:13.06
175,POPTILE Renaldo Christophe,M,53:16.71
24,ROBET Tiphaine,F,53:16.78
176,Bartha Krisztian,M,53:18.86
177,Batinas Laszlo,M,53:25.25
178,Cristian Cuibus,M,53:28.10
25,Darlea Denisa-Dida,F,53:30.93
179,Fagarasi Lorand,M,53:31.58
180,VERES PAUL SERBAN,M,53:36.92
26,Culda Aliona,F,53:44.73
181,Márton János,M,53:45.25
182,Zburlea Ionut,M,53:46.29
183,Groza Daniel,M,53:47.33
184,Balazs Istvan Zsolt,M,53:50.42
27,Urmosi Julia Eszter,F,53:51.43
185,Bostan Cristian,M,53:51.95
186,GHIRA DUMITRU,M,53:54.36
187,Cenan Mihai,M,53:54.82
188,MACARIE MIHAI,M,53:55.40
189,Fekete Bence,M,53:56.26
28,Ilea Ioana Cristina,F,53:57.57
